CASEID,age,sex,education,weekly_working_hours,salary
2276,40-49,Female,Non-university postsecondary certificate or diploma,37.5,13500
2277,50-59,Female,University degree or certificate,37.5,43000
2277,50-59,Male,Non-university postsecondary certificate or diploma,40,0
2278,50-59,Male,Non-university postsecondary certificate or diploma,40,49000
2279,30-39,Male,Graduated high school or partial postsecondary education,25,25000
2280,20-29,Female,Graduated high school or partial postsecondary education,25,6750
2282,50-59,Female,University degree or certificate,40,62500
2282,50-59,Male,University degree or certificate,40,115000
2283,50-59,Female,Non-university postsecondary certificate or diploma,37.5,72500
2283,50-59,Male,Non-university postsecondary certificate or diploma,50,0
2284,50-59,Female,Graduated high school or partial postsecondary education,36,39000
2284,50-59,Male,Graduated high school or partial postsecondary education,42,80000
2285,60-69,Female,Graduated high school or partial postsecondary education,20,7000
2289,40-49,Female,University degree or certificate,50,0
2289,40-49,Male,University degree or certificate,42,75000
2291,20-29,Female,Non-university postsecondary certificate or diploma,40,45000
2291,20-29,Female,University degree or certificate,32,65000
2292,30-39,Female,Non-university postsecondary certificate or diploma,40,49000
2292,40-49,Male,Less than high school graduation,40,40000
2293,50-59,Male,Graduated high school or partial postsecondary education,24,9000
2293,40-49,Female,Less than high school graduation,40,23000
2293,16-19,Female,Less than high school graduation,15,2200
2297,20-29,Female,Non-university postsecondary certificate or diploma,30,57500
2297,20-29,Male,Non-university postsecondary certificate or diploma,33.5,135000
2298,20-29,Male,Graduated high school or partial postsecondary education,40,100000
2299,20-29,Male,Graduated high school or partial postsecondary education,40,16500
2301,60-69,Male,University degree or certificate,70,175000
2301,50-59,Female,Non-university postsecondary certificate or diploma,15,21000
2302,60-69,Male,Graduated high school or partial postsecondary education,30,77500
2303,20-29,Male,University degree or certificate,37.5,43000
2303,30-39,Female,University degree or certificate,35,25000
2305,60-69,Male,Non-university postsecondary certificate or diploma,42,80000
2305,60-69,Female,Non-university postsecondary certificate or diploma,38,87500
2305,20-29,Female,University degree or certificate,45,4600
2306,20-29,Female,University degree or certificate,40,55000
2306,30-39,Male,Graduated high school or partial postsecondary education,42.5,47000
2307,40-49,Female,University degree or certificate,32,30000
2308,40-49,Male,University degree or certificate,40,57500
2308,40-49,Female,University degree or certificate,35,16500
2309,20-29,Male,Graduated high school or partial postsecondary education,40,62500
2310,20-29,Male,Less than high school graduation,80,45000
2310,20-29,Female,Non-university postsecondary certificate or diploma,37,5500
2313,50-59,Male,Non-university postsecondary certificate or diploma,55,4800
2313,50-59,Male,Non-university postsecondary certificate or diploma,50,0
2314,60-69,Male,University degree or certificate,31,0
2315,30-39,Male,Non-university postsecondary certificate or diploma,37.5,41000
2316,16-19,Female,Non-university postsecondary certificate or diploma,7,6250
2316,50-59,Female,Non-university postsecondary certificate or diploma,35,50000
2316,60-69,Male,University degree or certificate,9,0
2317,40-49,Male,Less than high school graduation,50,0
2318,50-59,Female,University degree or certificate,42,85000
2319,60-69,Female,Graduated high school or partial postsecondary education,6,13500
2321,20-29,Male,Graduated high school or partial postsecondary education,40,90000
2321,20-29,Female,University degree or certificate,40,0
2323,40-49,Male,University degree or certificate,55,210000
2323,16-19,Female,Non-university postsecondary certificate or diploma,6,300
2328,60-69,Female,University degree or certificate,16,7500
2330,30-39,Female,Graduated high school or partial postsecondary education,42,49000
2330,30-39,Male,Less than high school graduation,30,0
2332,50-59,Male,Graduated high school or partial postsecondary education,40,0
2332,40-49,Female,Less than high school graduation,40,32000
2332,20-29,Male,Less than high school graduation,40,17500
2333,20-29,Male,Non-university postsecondary certificate or diploma,40,37000
2334,50-59,Female,Non-university postsecondary certificate or diploma,35,40000
2335,50-59,Male,Non-university postsecondary certificate or diploma,80,650
2335,40-49,Female,Graduated high school or partial postsecondary education,21,4800
